Murgh Makhani Boneless,Rs 250 / Rs 410,
Murg Bhuna Masala Boneless,Rs 250 / Rs 410,
Mutton Rogan Josh,Rs 325,
Kadhai Chicken ,Rs 210 / Rs 390,
Col's Rara Gosht,Rs 350,Shanks of meat simmered with minced mutton in rich gravy"
Murgh Mumtaz,Rs 275 / Rs 450,Cubes of juicy chicken in rich white gravy
Paneer Makhani,Rs 240,
Pudina Jeera Aloo,Rs 175,
Amritsari Chholle,Rs 175,
Mutter Mushroom Masala,Rs 195,
Dal Makhani,Rs 190,
Peeli Dal Tadka,Rs 175,Yellow dal garnished with a sizzling tadka"
Palak Paneer,Rs 220,
Kadhai Paneer,Rs 195,
Dum Aloo Kashmiri,Rs 195,Stuffed Potato in rich red gravy
Paneer Mumtaz,Rs 260,Cubes of Paneer in rich white gravy
Paneer Nizami,Rs 260,Stuffed Paneer  in rich red gravy
